Entity,Code,Year,Number of people who cannot afford a healthy diet
Brazil,BRA,2020,40400001
Brazil,BRA,2021,62400001
Brazil,BRA,2022,52400001
Brazil,BRA,2023,50799999
Brazil,BRA,2024,50200000
Bulgaria,BGR,2017,699999
Bulgaria,BGR,2018,600000
Bulgaria,BGR,2019,500000
Bulgaria,BGR,2020,400000
Bulgaria,BGR,2021,400000
Bulgaria,BGR,2022,400000
Bulgaria,BGR,2023,400000
Bulgaria,BGR,2024,400000
Burkina Faso,BFA,2017,13199999
Burkina Faso,BFA,2018,12899999
Burkina Faso,BFA,2019,12600000
Burkina Faso,BFA,2020,13100000
Burkina Faso,BFA,2021,13300000
Burkina Faso,BFA,2022,14500000
Burkina Faso,BFA,2023,14500000
Burkina Faso,BFA,2024,14899999
Burundi,BDI,2017,10399999
Burundi,BDI,2018,10500000
Burundi,BDI,2019,10699999
Burundi,BDI,2020,11199999
Burundi,BDI,2021,11500000
Burundi,BDI,2022,12000000
Burundi,BDI,2023,12500000
Burundi,BDI,2024,12800000
Cameroon,CMR,2017,12699999
Cameroon,CMR,2018,13000000
Cameroon,CMR,2019,13399999
Cameroon,CMR,2020,14100000
Cameroon,CMR,2021,14699999
Cameroon,CMR,2022,15500000
Cameroon,CMR,2023,16100000
Cameroon,CMR,2024,16500000
Canada,CAN,2017,1200000
Canada,CAN,2018,1000000
Canada,CAN,2019,1000000
Canada,CAN,2020,1200000
Canada,CAN,2021,1200000
Canada,CAN,2022,1100000
Canada,CAN,2023,1200000
Canada,CAN,2024,1200000
Cape Verde,CPV,2017,200000
Cape Verde,CPV,2018,100000
Cape Verde,CPV,2019,100000
Cape Verde,CPV,2020,200000
Cape Verde,CPV,2021,200000
Cape Verde,CPV,2022,200000
Cape Verde,CPV,2023,200000
Cape Verde,CPV,2024,200000
Central African Republic,CAF,2017,4199999
Central African Republic,CAF,2018,4199999
Central African Republic,CAF,2019,4199999
Central African Republic,CAF,2020,4300000
Central African Republic,CAF,2021,4400000
Central African Republic,CAF,2022,4400000
Central African Republic,CAF,2023,4500000
Central African Republic,CAF,2024,4599999
Chad,TCD,2017,10000000
Chad,TCD,2018,9899999
Chad,TCD,2019,9699999
Chad,TCD,2020,10399999
Chad,TCD,2021,10699999
Chad,TCD,2022,11399999
Chad,TCD,2023,12199999
Chad,TCD,2024,13000000
Chile,CHL,2017,8899999
Chile,CHL,2018,8699999
Chile,CHL,2019,8800000
Chile,CHL,2020,9699999
Chile,CHL,2021,8300000
Chile,CHL,2022,7900000
Chile,CHL,2023,8199999
Chile,CHL,2024,7900000
China,CHN,2017,412000000
China,CHN,2018,358600006
China,CHN,2019,325899993
China,CHN,2020,346399993
China,CHN,2021,221399993
China,CHN,2022,220100006
China,CHN,2023,196000000
China,CHN,2024,173399993
Colombia,COL,2017,15300000
Colombia,COL,2018,15399999
Colombia,COL,2019,16200000
Colombia,COL,2020,20600000
Colombia,COL,2021,19600000
Colombia,COL,2022,19000000
Colombia,COL,2023,19399999
Colombia,COL,2024,19100000
Comoros,COM,2017,500000
Comoros,COM,2018,500000
Comoros,COM,2019,500000
Comoros,COM,2020,500000
Comoros,COM,2021,500000
Comoros,COM,2022,500000
Comoros,COM,2023,500000
Comoros,COM,2024,500000
Congo,COG,2017,4000000
Congo,COG,2018,4099999
Congo,COG,2019,4199999
Congo,COG,2020,4500000
Congo,COG,2021,4599999
Congo,COG,2022,4800000
Congo,COG,2023,4900000
Congo,COG,2024,5000000
Costa Rica,CRI,2017,699999
Costa Rica,CRI,2018,800000
Costa Rica,CRI,2019,699999
Costa Rica,CRI,2020,1100000
Costa Rica,CRI,2021,800000
Costa Rica,CRI,2022,800000
Costa Rica,CRI,2023,800000
Costa Rica,CRI,2024,699999
Cote d'Ivoire,CIV,2017,15000000
Cote d'Ivoire,CIV,2018,14300000
Cote d'Ivoire,CIV,2019,13399999
Cote d'Ivoire,CIV,2020,14399999
Cote d'Ivoire,CIV,2021,14899999
Cote d'Ivoire,CIV,2022,15399999
Cote d'Ivoire,CIV,2023,15500000
Cote d'Ivoire,CIV,2024,15500000
Croatia,HRV,2017,1100000
Croatia,HRV,2018,899999
Croatia,HRV,2019,800000
Croatia,HRV,2020,699999
Croatia,HRV,2021,600000
Croatia,HRV,2022,500000
Croatia,HRV,2023,500000
Croatia,HRV,2024,400000
Cyprus,CYP,2017,100000
Cyprus,CYP,2018,0
Cyprus,CYP,2019,0
Cyprus,CYP,2020,0
Cyprus,CYP,2021,0
Cyprus,CYP,2022,0
Cyprus,CYP,2023,0
Cyprus,CYP,2024,0
Czechia,CZE,2017,500000
Czechia,CZE,2018,400000
Czechia,CZE,2019,400000
Czechia,CZE,2020,400000
Czechia,CZE,2021,400000
Czechia,CZE,2022,400000
Czechia,CZE,2023,500000
Czechia,CZE,2024,400000
Democratic Republic of Congo,COD,2017,82500000
Democratic Republic of Congo,COD,2018,83199996
Democratic Republic of Congo,COD,2019,85099998
Democratic Republic of Congo,COD,2020,88500000
Democratic Republic of Congo,COD,2021,90699996
Democratic Republic of Congo,COD,2022,92400001
Democratic Republic of Congo,COD,2023,94800003
Democratic Republic of Congo,COD,2024,97300003
Denmark,DNK,2017,100000
Denmark,DNK,2018,100000
Denmark,DNK,2019,100000
Denmark,DNK,2020,100000
Denmark,DNK,2021,0
Denmark,DNK,2022,100000
Denmark,DNK,2023,100000
Denmark,DNK,2024,0
Djibouti,DJI,2017,600000
Djibouti,DJI,2018,600000
Djibouti,DJI,2019,600000
Djibouti,DJI,2020,600000
Djibouti,DJI,2021,600000
Djibouti,DJI,2022,600000
Djibouti,DJI,2023,600000
Djibouti,DJI,2024,600000
Dominican Republic,DOM,2017,2900000
Dominican Republic,DOM,2018,2599999
Dominican Republic,DOM,2019,2400000
Dominican Republic,DOM,2020,2900000
Dominican Republic,DOM,2021,2900000
Dominican Republic,DOM,2022,2799999
Dominican Republic,DOM,2023,2799999
Dominican Republic,DOM,2024,2599999
East Asia & Pacific (WB),,2017,688299987
East Asia & Pacific (WB),,2018,631200012
East Asia & Pacific (WB),,2019,587900024
East Asia & Pacific (WB),,2020,622500000
East Asia & Pacific (WB),,2021,501200012
East Asia & Pacific (WB),,2022,491100006
East Asia & Pacific (WB),,2023,460700012
East Asia & Pacific (WB),,2024,426500000
Ecuador,ECU,2017,3900000
Ecuador,ECU,2018,4099999
Ecuador,ECU,2019,4300000
Ecuador,ECU,2020,5300000
Ecuador,ECU,2021,4800000
Ecuador,ECU,2022,4599999
Ecuador,ECU,2023,4699999
Ecuador,ECU,2024,4800000
Egypt,EGY,2017,54599998
Egypt,EGY,2018,56900001
Egypt,EGY,2019,52799999
Egypt,EGY,2020,48799999
Egypt,EGY,2021,46599998
Egypt,EGY,2022,49599998
Egypt,EGY,2023,63299999
Egypt,EGY,2024,66199996
Estonia,EST,2017,100000
Estonia,EST,2018,100000
Estonia,EST,2019,100000
Estonia,EST,2020,100000
Estonia,EST,2021,100000
Estonia,EST,2022,100000
Estonia,EST,2023,100000
Estonia,EST,2024,100000
Eswatini,SWZ,2017,800000
Eswatini,SWZ,2018,800000
Eswatini,SWZ,2019,800000
Eswatini,SWZ,2020,800000
Eswatini,SWZ,2021,800000
Eswatini,SWZ,2022,800000
Eswatini,SWZ,2023,800000
Eswatini,SWZ,2024,800000
Ethiopia,ETH,2017,68199996
Ethiopia,ETH,2018,65800003
Ethiopia,ETH,2019,66400001
Ethiopia,ETH,2020,67900001
Ethiopia,ETH,2021,70800003
Ethiopia,ETH,2022,71599998
Ethiopia,ETH,2023,68699996
Ethiopia,ETH,2024,71599998
Europe & Central Asia (WB),,2017,89500000
Europe & Central Asia (WB),,2018,86300003
Europe & Central Asia (WB),,2019,82000000
Europe & Central Asia (WB),,2020,79699996
Europe & Central Asia (WB),,2021,70199996
Europe & Central Asia (WB),,2022,63500000
Europe & Central Asia (WB),,2023,62900001
Europe & Central Asia (WB),,2024,59400001
Fiji,FJI,2017,400000
Fiji,FJI,2018,400000
Fiji,FJI,2019,500000
Fiji,FJI,2020,600000
Fiji,FJI,2021,600000
Fiji,FJI,2022,500000
Fiji,FJI,2023,500000
Fiji,FJI,2024,500000
Finland,FIN,2017,100000
Finland,FIN,2018,100000
Finland,FIN,2019,0
Finland,FIN,2020,0
Finland,FIN,2021,0
Finland,FIN,2022,0
Finland,FIN,2023,100000
Finland,FIN,2024,0
France,FRA,2017,1200000
France,FRA,2018,1399999
France,FRA,2019,2200000
France,FRA,2020,1799999
France,FRA,2021,2099999
France,FRA,2022,2000000
France,FRA,2023,2000000
France,FRA,2024,2000000
Gabon,GAB,2017,699999
Gabon,GAB,2018,699999
Gabon,GAB,2019,699999
Gabon,GAB,2020,800000
Gabon,GAB,2021,899999
Gabon,GAB,2022,899999
Gabon,GAB,2023,899999
Gabon,GAB,2024,899999
Gambia,GMB,2017,1000000
Gambia,GMB,2018,1000000
Gambia,GMB,2019,1000000
Gambia,GMB,2020,1100000
Gambia,GMB,2021,1100000
Gambia,GMB,2022,1200000
Gambia,GMB,2023,1200000
Gambia,GMB,2024,1299999
Germany,DEU,2017,2299999
Germany,DEU,2018,1899999
Germany,DEU,2019,1899999
Germany,DEU,2020,1899999
Germany,DEU,2021,1899999
Germany,DEU,2022,1700000
Germany,DEU,2023,1700000
Germany,DEU,2024,1700000
Ghana,GHA,2017,19799999
Ghana,GHA,2018,19799999
Ghana,GHA,2019,19899999
Ghana,GHA,2020,20500000
Ghana,GHA,2021,20700000
Ghana,GHA,2022,21200000
Ghana,GHA,2023,22399999
Ghana,GHA,2024,22899999
Greece,GRC,2017,3299999
Greece,GRC,2018,3000000
Greece,GRC,2019,2599999
Greece,GRC,2020,2599999
Greece,GRC,2021,2200000
Greece,GRC,2022,1899999
Greece,GRC,2023,1799999
Greece,GRC,2024,1700000
Grenada,GRD,2017,0
Grenada,GRD,2018,0
Grenada,GRD,2019,0
Grenada,GRD,2020,0
Grenada,GRD,2021,0
Grenada,GRD,2022,0
Grenada,GRD,2023,0
Grenada,GRD,2024,0
Guatemala,GTM,2017,8399999
Guatemala,GTM,2018,8500000
Guatemala,GTM,2019,8500000
Guatemala,GTM,2020,9100000
Guatemala,GTM,2021,8600000
Guatemala,GTM,2022,8500000
Guatemala,GTM,2023,8699999
Guatemala,GTM,2024,8800000
Guinea,GIN,2017,5500000
Guinea,GIN,2018,5599999
Guinea,GIN,2019,5699999
Guinea,GIN,2020,5800000
Guinea,GIN,2021,6000000
Guinea,GIN,2022,6199999
Guinea,GIN,2023,6800000
Guinea,GIN,2024,7400000
Guinea-Bissau,GNB,2017,1200000
Guinea-Bissau,GNB,2018,1200000
Guinea-Bissau,GNB,2019,1200000
Guinea-Bissau,GNB,2020,1299999
Guinea-Bissau,GNB,2021,1299999
Guinea-Bissau,GNB,2022,1399999
Guinea-Bissau,GNB,2023,1399999
Guinea-Bissau,GNB,2024,1399999
Guyana,GUY,2017,300000
Guyana,GUY,2018,300000
Guyana,GUY,2019,300000
Guyana,GUY,2020,200000
Guyana,GUY,2021,100000
Guyana,GUY,2022,100000
Guyana,GUY,2023,100000
Guyana,GUY,2024,0
Haiti,HTI,2017,8399999
Haiti,HTI,2018,8500000
Haiti,HTI,2019,8800000
Haiti,HTI,2020,9199999
Haiti,HTI,2021,9399999
Haiti,HTI,2022,9600000
Haiti,HTI,2023,9800000
Haiti,HTI,2024,10300000
High-income countries,,2017,107099998
High-income countries,,2018,104300003
High-income countries,,2019,96500000
High-income countries,,2020,94000000
High-income countries,,2021,83400001
High-income countries,,2022,85599998
High-income countries,,2023,86000000
High-income countries,,2024,82699996
Honduras,HND,2017,3900000
Honduras,HND,2018,3799999
Honduras,HND,2019,3900000
Honduras,HND,2020,4400000
Honduras,HND,2021,4000000
Honduras,HND,2022,4099999
Honduras,HND,2023,4199999
Honduras,HND,2024,4199999
Hungary,HUN,2017,3099999
Hungary,HUN,2018,2599999
Hungary,HUN,2019,2599999
Hungary,HUN,2020,2000000
Hungary,HUN,2021,1299999
Hungary,HUN,2022,1100000
Hungary,HUN,2023,1100000
Hungary,HUN,2024,899999
Iceland,ISL,2017,0
Iceland,ISL,2018,0
Iceland,ISL,2019,0
Iceland,ISL,2020,0
Iceland,ISL,2021,0
Iceland,ISL,2022,0
Iceland,ISL,2023,0
Iceland,ISL,2024,0
India,IND,2017,804900024
India,IND,2018,750299987
India,IND,2019,723099975
India,IND,2020,780200012
India,IND,2021,729400024
India,IND,2022,672500000
India,IND,2023,617200012
India,IND,2024,586500000
Indonesia,IDN,2017,131899993
Indonesia,IDN,2018,132600006
Indonesia,IDN,2019,127800003
Indonesia,IDN,2020,128199996
Indonesia,IDN,2021,129500000
Indonesia,IDN,2022,129800003
Indonesia,IDN,2023,128600006
Indonesia,IDN,2024,123400001
Iran,IRN,2017,6599999
Iran,IRN,2018,7900000
Iran,IRN,2019,12699999
Iran,IRN,2020,12899999
Iran,IRN,2021,13199999
Iran,IRN,2022,13800000
Iran,IRN,2023,14300000
Iran,IRN,2024,12800000
Iraq,IRQ,2017,8899999
Iraq,IRQ,2018,9100000
Iraq,IRQ,2019,8800000
Iraq,IRQ,2020,11699999
Iraq,IRQ,2021,12000000
Iraq,IRQ,2022,11500000
Iraq,IRQ,2023,13199999
Iraq,IRQ,2024,14100000
Ireland,IRL,2017,100000
Ireland,IRL,2018,100000
Ireland,IRL,2019,100000
Ireland,IRL,2020,100000
Ireland,IRL,2021,100000
Ireland,IRL,2022,0
Ireland,IRL,2023,100000
Ireland,IRL,2024,100000
Israel,ISR,2017,1600000
Israel,ISR,2018,1600000
Israel,ISR,2019,1700000
Israel,ISR,2020,1700000
Israel,ISR,2021,1600000
Israel,ISR,2022,1500000
Israel,ISR,2023,1500000
Israel,ISR,2024,1500000
Italy,ITA,2017,6199999
Italy,ITA,2018,6000000
Italy,ITA,2019,5099999
Italy,ITA,2020,5400000
Italy,ITA,2021,4599999
Italy,ITA,2022,4000000
Italy,ITA,2023,4000000
Italy,ITA,2024,4000000
Jamaica,JAM,2017,500000
Jamaica,JAM,2018,500000
Jamaica,JAM,2019,500000
Jamaica,JAM,2020,699999
Jamaica,JAM,2021,600000
Jamaica,JAM,2022,600000
Jamaica,JAM,2023,600000
Jamaica,JAM,2024,600000
Japan,JPN,2017,9100000
Japan,JPN,2018,9100000
Japan,JPN,2019,9100000
Japan,JPN,2020,10100000
Japan,JPN,2021,10000000
Japan,JPN,2022,9300000
Japan,JPN,2023,9300000
Japan,JPN,2024,8899999
Jordan,JOR,2017,1299999
Jordan,JOR,2018,1299999
Jordan,JOR,2019,1299999
Jordan,JOR,2020,1500000
Jordan,JOR,2021,1500000
Jordan,JOR,2022,1399999
Jordan,JOR,2023,1299999
Jordan,JOR,2024,1200000
Kazakhstan,KAZ,2017,1700000
Kazakhstan,KAZ,2018,1200000
Kazakhstan,KAZ,2019,1299999
Kazakhstan,KAZ,2020,1299999
Kazakhstan,KAZ,2021,1000000
Kazakhstan,KAZ,2022,1100000
Kazakhstan,KAZ,2023,1000000
Kazakhstan,KAZ,2024,899999
Kenya,KEN,2017,34099998
Kenya,KEN,2018,34799999
Kenya,KEN,2019,36700000
Kenya,KEN,2020,39599998
Kenya,KEN,2021,41299999
Kenya,KEN,2022,42299999
Kenya,KEN,2023,42900001
Kenya,KEN,2024,43500000
Kyrgyzstan,KGZ,2017,2500000
Kyrgyzstan,KGZ,2018,2200000
Kyrgyzstan,KGZ,2019,2000000
Kyrgyzstan,KGZ,2020,2700000
Kyrgyzstan,KGZ,2021,2500000
Kyrgyzstan,KGZ,2022,2500000
Kyrgyzstan,KGZ,2023,2400000
Kyrgyzstan,KGZ,2024,2200000
Laos,LAO,2017,4099999
Laos,LAO,2018,4099999
Laos,LAO,2019,4099999
Laos,LAO,2020,4300000
Laos,LAO,2021,4300000
Laos,LAO,2022,4300000
Laos,LAO,2023,4400000
Laos,LAO,2024,4400000
Latin America & Caribbean (WB),,2017,182800003
Latin America & Caribbean (WB),,2018,180199996
Latin America & Caribbean (WB),,2019,178500000
Latin America & Caribbean (WB),,2020,189100006
Latin America & Caribbean (WB),,2021,194899993
Latin America & Caribbean (WB),,2022,179800003
Latin America & Caribbean (WB),,2023,180300003
Latin America & Caribbean (WB),,2024,179600006
Latvia,LVA,2017,500000
Latvia,LVA,2018,400000
Latvia,LVA,2019,300000
Latvia,LVA,2020,300000
Latvia,LVA,2021,300000
Latvia,LVA,2022,200000
Latvia,LVA,2023,200000
Latvia,LVA,2024,200000
Lebanon,LBN,2017,0
Lebanon,LBN,2018,0
Lebanon,LBN,2019,0
Lebanon,LBN,2020,0
Lebanon,LBN,2021,100000
Lebanon,LBN,2022,200000
Lebanon,LBN,2023,300000
Lebanon,LBN,2024,200000
Lesotho,LSO,2017,1500000
Lesotho,LSO,2018,1600000
Lesotho,LSO,2019,1600000
Lesotho,LSO,2020,1700000
Lesotho,LSO,2021,1700000
Lesotho,LSO,2022,1799999
Lesotho,LSO,2023,1799999
Lesotho,LSO,2024,1799999
Liberia,LBR,2017,3200000
Liberia,LBR,2018,3299999
Liberia,LBR,2019,3500000
Liberia,LBR,2020,3700000
Liberia,LBR,2021,3500000
Liberia,LBR,2022,3299999
Liberia,LBR,2023,3400000
Liberia,LBR,2024,3599999
Lithuania,LTU,2017,600000
Lithuania,LTU,2018,500000
Lithuania,LTU,2019,400000
Lithuania,LTU,2020,200000
Lithuania,LTU,2021,200000
Lithuania,LTU,2022,300000
Lithuania,LTU,2023,300000
Lithuania,LTU,2024,200000
Low-income countries,,2017,452000000
Low-income countries,,2018,453200012
Low-income countries,,2019,464200012
Low-income countries,,2020,488899993
Low-income countries,,2021,499799987
Low-income countries,,2022,508299987
Low-income countries,,2023,525400024
Low-income countries,,2024,544700012
Lower-middle-income countries,,2017,1601000000
Lower-middle-income countries,,2018,1539500000
Lower-middle-income countries,,2019,1514400024
Lower-middle-income countries,,2020,1609099975
Lower-middle-income countries,,2021,1560599975
Lower-middle-income countries,,2022,1510099975
Lower-middle-income countries,,2023,1485500000
Lower-middle-income countries,,2024,1452900024
Luxembourg,LUX,2017,0
Luxembourg,LUX,2018,0
Luxembourg,LUX,2019,0
Luxembourg,LUX,2020,0
Luxembourg,LUX,2021,0
Luxembourg,LUX,2022,0
Luxembourg,LUX,2023,0
Luxembourg,LUX,2024,0
Madagascar,MDG,2017,24899999
Madagascar,MDG,2018,25600000
Madagascar,MDG,2019,26200000
Madagascar,MDG,2020,27200000
Madagascar,MDG,2021,27899999
Madagascar,MDG,2022,28600000
Madagascar,MDG,2023,29299999
Madagascar,MDG,2024,29899999
Malawi,MWI,2017,15100000
Malawi,MWI,2018,15699999
Malawi,MWI,2019,16500000
Malawi,MWI,2020,17200000
Malawi,MWI,2021,17700000
Malawi,MWI,2022,18299999
Malawi,MWI,2023,19100000
Malawi,MWI,2024,19799999
Malaysia,MYS,2017,1399999
Malaysia,MYS,2018,1200000
Malaysia,MYS,2019,899999
Malaysia,MYS,2020,1100000
Malaysia,MYS,2021,1000000
Malaysia,MYS,2022,699999
Malaysia,MYS,2023,699999
Malaysia,MYS,2024,600000
Maldives,MDV,2017,0
Maldives,MDV,2018,0
Maldives,MDV,2019,0
Maldives,MDV,2020,0
Maldives,MDV,2021,0
Maldives,MDV,2022,0
Maldives,MDV,2023,0
Maldives,MDV,2024,0
Mali,MLI,2017,11300000
Mali,MLI,2018,10600000
Mali,MLI,2019,10399999
Mali,MLI,2020,11899999
Mali,MLI,2021,12899999
Mali,MLI,2022,14100000
Mali,MLI,2023,14399999
Mali,MLI,2024,14899999
Malta,MLT,2017,0
Malta,MLT,2018,0
Malta,MLT,2019,0
Malta,MLT,2020,0
Malta,MLT,2021,0
Malta,MLT,2022,0
Malta,MLT,2023,0
Malta,MLT,2024,0
Mauritania,MRT,2017,2200000
Mauritania,MRT,2018,2200000
Mauritania,MRT,2019,2299999
Mauritania,MRT,2020,2500000
Mauritania,MRT,2021,2700000
Mauritania,MRT,2022,2799999
Mauritania,MRT,2023,2799999
Mauritania,MRT,2024,2900000
Mauritius,MUS,2017,200000
Mauritius,MUS,2018,200000
Mauritius,MUS,2019,200000
Mauritius,MUS,2020,200000
Mauritius,MUS,2021,200000
Mauritius,MUS,2022,200000
Mauritius,MUS,2023,200000
Mauritius,MUS,2024,200000
Mexico,MEX,2017,34900001
Mexico,MEX,2018,33700000
Mexico,MEX,2019,31399999
Mexico,MEX,2020,37099998
Mexico,MEX,2021,31500000
Mexico,MEX,2022,28399999
Mexico,MEX,2023,28000000
Mexico,MEX,2024,27899999
Middle East & North Africa (WB),,2017,245500000
Middle East & North Africa (WB),,2018,246899993
Middle East & North Africa (WB),,2019,252300003
Middle East & North Africa (WB),,2020,268700012
Middle East & North Africa (WB),,2021,270399993
Middle East & North Africa (WB),,2022,278000000
Middle East & North Africa (WB),,2023,311799987
Middle East & North Africa (WB),,2024,308500000
Moldova,MDA,2017,300000
Moldova,MDA,2018,300000
Moldova,MDA,2019,300000
Moldova,MDA,2020,400000
Moldova,MDA,2021,300000
Moldova,MDA,2022,400000
Moldova,MDA,2023,300000
Moldova,MDA,2024,300000
Mongolia,MNG,2017,899999
Mongolia,MNG,2018,800000
Mongolia,MNG,2019,800000
Mongolia,MNG,2020,800000
Mongolia,MNG,2021,800000
Mongolia,MNG,2022,600000
Mongolia,MNG,2023,699999
Mongolia,MNG,2024,600000
Montenegro,MNE,2017,100000
Montenegro,MNE,2018,100000
Montenegro,MNE,2019,100000
Montenegro,MNE,2020,100000
Montenegro,MNE,2021,100000
Montenegro,MNE,2022,100000
Montenegro,MNE,2023,100000
Montenegro,MNE,2024,100000
Morocco,MAR,2017,4699999
Morocco,MAR,2018,4500000
Morocco,MAR,2019,4300000
Morocco,MAR,2020,5099999
Morocco,MAR,2021,4500000
Morocco,MAR,2022,4800000
Morocco,MAR,2023,5300000
Morocco,MAR,2024,5199999
Mozambique,MOZ,2017,23799999
Mozambique,MOZ,2018,24600000
Mozambique,MOZ,2019,25700000
Mozambique,MOZ,2020,27100000
Mozambique,MOZ,2021,28200000
Mozambique,MOZ,2022,29100000
Mozambique,MOZ,2023,29899999
Mozambique,MOZ,2024,30899999
Myanmar,MMR,2017,23600000
Myanmar,MMR,2018,22000000
Myanmar,MMR,2019,21600000
Myanmar,MMR,2020,24799999
Myanmar,MMR,2021,27799999
Myanmar,MMR,2022,26700000
Myanmar,MMR,2023,23399999
Myanmar,MMR,2024,20700000
Namibia,NAM,2017,1399999
Namibia,NAM,2018,1500000
Namibia,NAM,2019,1500000
Namibia,NAM,2020,1700000
Namibia,NAM,2021,1700000
Namibia,NAM,2022,1600000
Namibia,NAM,2023,1700000
Namibia,NAM,2024,1700000
Nepal,NPL,2017,9300000
Nepal,NPL,2018,7500000
Nepal,NPL,2019,7300000
Nepal,NPL,2020,7900000
Nepal,NPL,2021,7199999
Nepal,NPL,2022,6400000
Nepal,NPL,2023,6099999
Nepal,NPL,2024,5900000
Netherlands,NLD,2017,300000
Netherlands,NLD,2018,300000
Netherlands,NLD,2019,300000
Netherlands,NLD,2020,300000
Netherlands,NLD,2021,200000
Netherlands,NLD,2022,200000
Netherlands,NLD,2023,200000
Netherlands,NLD,2024,200000
Nicaragua,NIC,2017,1600000
Nicaragua,NIC,2018,1799999
Nicaragua,NIC,2019,1899999
Nicaragua,NIC,2020,2000000
Nicaragua,NIC,2021,1799999
Nicaragua,NIC,2022,1899999
Nicaragua,NIC,2023,1899999
Niger,NER,2017,18500000
Niger,NER,2018,18600000
Niger,NER,2019,19200000
